source_identifier,model,remote_files,parents,has_work_type,local_identifier,ark,acquisition_identifier,oclc,issn,isbn,title,alternative_title,abstract,table_of_contents,photographer,date_created,date_issued,date_other,date_created_d,date_issued_d,date_other_d,publisher,utk_publisher,publication_place,utk_place_of_publication,note,extent,instrumentation,first_line,intended_audience,rights_statement,spatial,spatial_local,coordinates,temporal,call_number,bibliographic_citation,provider,intermediate_provider,repository,archival_collection,subject,keyword,form,resource_type,form_local,language,sheetmusic_hostitem,is_part_of,utk_photographer,contributor,utk_contributor,creator,utk_creator
knoxgardens:140,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000241 | Film  41 | Slide 28 | knoxgardens:140 | record_spc_4477,,,,,,View in Eleanor (Spence) Sanford's garden,Mrs. A. F. Sanford,"Eleanor Spence was born on April 4, 1879 in Knoxville, Tennessee. She married Alfred Fanton Sanford (1875-1946) in November of 1903 and the couple lived at 2890 Kingston Pike, where Eleanor maintained this garden.",,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1927/1935,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85145576 | http://id.loc.gov/authorities/subjects/sh85145559,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:158,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000261 | Film  34 | Slide 48 | knoxgardens:158 | record_spc_4478,,,,,,Entrance to Lida (McClung) Ross's garden,Mrs. Will Ross,"Eliza ""Lida"" Mills McClung (1882-1968) was born to Calvin Morgan and Annie (McGhee) McClung in Tennessee. She married William Cary Ross (1879-1956) on December 2, 1902 and the couple lived at 4155 Lyons View Pike, where Lida maintained the garden shown above.",,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1927/1935,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85053505,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:141,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000242 | Film  45 | Slide 29 | knoxgardens:141 | record_spc_4516,,,,,,View of Mrs. Sanford's pond,Mrs. A. F. Sanford,Glass slide photo of garden pond.,,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh96001392 | http://id.loc.gov/authorities/subjects/sh85145559 | http://id.loc.gov/authorities/subjects/sh85145576,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:147,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000249 | Film  29 | Slide 36 | knoxgardens:147 | record_spc_4522,,,,,,View in Nell (Jenkins) Prosser's garden,Mrs. Brown Prosser,Glass slide photo of driveway in gardens.,,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh85039611,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:121,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000221 | Film  92 | Slide 8 | knoxgardens:121 | record_spc_4496,,,,,,Chapman Fork,,Glass slide of Chapman Fork stream,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Chapman Prong,"35.69315, -83.32015",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85090290 | http://id.loc.gov/authorities/subjects/sh85057008,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:127,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000227 | Film  88 | Slide 14 | knoxgardens:127 | record_spc_4502,,,,,,Rhododendron Catawba,,Glass slide of Rhododendron flowers.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85113765 | http://id.loc.gov/authorities/subjects/sh85010626,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:174,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000279 | Film  90 | Slide 66 | knoxgardens:174 | record_spc_4549,,,,,,Flowers in an unknown garden,Vite detail,Close-up photo of purple flowers.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh2008120720,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:156,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000259 | Film  52 | Slide 46 | knoxgardens:156 | record_spc_4531,,,,,,View of Mrs. Smith's garden,Mrs. Powell Smith,Glass slide photo of gardens.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:210,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000316 | Film  13 | Slide 103 | knoxgardens:210 | record_spc_4585,,,,,,View of Alice Ijams's garden in winter,Mrs. H. P. Ijams,Winter snow scene.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh85137265 | http://id.loc.gov/authorities/subjects/sh85145559,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:199,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000304 | Film  4 | Slide 91 | knoxgardens:199 | record_spc_4574,,,,,,View of Mrs. Chapman's garden,Mrs. D. C. Chapman,Glass slide photo of gardens with house in background.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:189,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000294 | Film  74 | Slide 81 | knoxgardens:189 | record_spc_4564,,,,,,Flowers in an unknown garden,November,Glass slide photo of red flowers.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh2008120720,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:181,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000286 | Film  1 | Slide 73 | knoxgardens:181 | record_spc_4556,,,,,,Flowers in an unknown garden,Budler,Close up photo of purple flowers.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh2008120720,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:207,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000313 | Film  2 | Slide 100 | knoxgardens:207 | record_spc_4582,,,,,,Irises at Mrs. Cates's home,Mrs. Chas Cates,Glass slide photo of purple irises along a driveway.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh85068079 | http://id.loc.gov/authorities/subjects/sh85039611,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:149,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000251 | Film  32 | Slide 38 | knoxgardens:149 | record_spc_4479,,,,,,Path in Nell (Jenkins) Prosser's garden,Mrs. Brown Prosser,Nell S. Jenkins married Knoxville merchandise broker Brown Prosser in 1924. She maintained the garden shown here at their home on Prosser Road.,,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1927/1935,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85106708 | http://id.loc.gov/authorities/subjects/sh85053084,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:146,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000248 | Film  57 | Slide 35 | knoxgardens:146 | record_spc_4475,,,,,,View in Lillian (Wrenn) Williams's garden,"Williams, Mrs. Frank","Frank J. and Lillian (Wrenn) Williams lived at 1625 West Clinch Street in Knoxville, Tennessee where Lillian maintained the garden shown here.",,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1927/1935,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85145559,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:173,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000278 | Film  66 | Slide 65 | knoxgardens:173 | record_spc_4548,,,,,,Flowers in an unknown garden,July 1,Glass slide photo of orange (daylilies) and blue flowers.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh85035974,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:178,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000283 | Film  70 | Slide 70 | knoxgardens:178 | record_spc_4553,,,,,,Rose bushes,Aug. 1,Glass slide photo of rose bushes in garden.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:148,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000250 | Film  30 | Slide 37 | knoxgardens:148 | record_spc_4523,,,,,,View in Nell (Jenkins) Prosser's garden,Mrs. Brown Prosser,Glass slide photo of gardens.,,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:192,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000297 | Film  60 | Slide 84 | knoxgardens:192 | record_spc_4567,,,,,,Christmas tree,,"Glass slide - black & white photo of Christmas tree, with hand-tinted red tree skirt and red ornaments.",,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85025322 | http://id.loc.gov/authorities/subjects/sh85025309,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:170,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000275 | Film  38 | Slide 62 | knoxgardens:170 | record_spc_4545,,,,,,View of Lida (McClung) Ross's garden,Mrs. W. C. Ross,Glass slide photo of flowers in a garden.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:151,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000253 | Film 28 | Slide 40 | knoxgardens:151 | record_spc_4481,,,,,,View in Nell (Jenkins) Prosser's garden,Mrs. Brown Prosser,Nell S. Jenkins married Knoxville merchandise broker Brown Prosser in 1924. She maintained the garden shown here at their home on Prosser Road.,,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1927/1935,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:180,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000285 | Film  69 | Slide 72 | knoxgardens:180 | record_spc_4555,,,,,,White Hydrangea,Aug.,Glass slide photo of white hydrangea flowers.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh2008120720 | http://id.loc.gov/authorities/subjects/sh85063290,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:168,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000273 | Film  101 | Slide 60 | knoxgardens:168 | record_spc_4543,,,,,,View of unknown garden,March wild,Glass slide photo of white flowers.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh2008120720,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:160,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000265 | Film  63 | Slide 52 | knoxgardens:160 | record_spc_4488,,,,,,View in Lida (McClung) Ross' garden,"June, Ross","Glass slide photo of gardens in June. Eliza ""Lida"" Mills McClung (1882-1968) was born to Calvin Morgan and Annie (McGhee) McClung in Tennessee. She married William Cary Ross (1879-1956) on December 2, 1902 and the couple lived at 4155 Lyons View Pike, where Lida maintained the garden shown above.",,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1927/1935,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85098713,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:209,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000315 | Film  3 | Slide 102 | knoxgardens:209 | record_spc_4486,,,,,,Bower in Emma (Parham) Cates' garden,Mrs. Chas Cates,"Glass slide photo of flower-covered arbor with river in the background. Emma Jane Parham (1861-1934) married Charles Theodore Cates Jr. (1851-1938) in 1886 in Maryville, Tennessee. She maintained this garden at their Knoxville home.",,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1927/1935,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh96007468 | http://id.loc.gov/authorities/subjects/sh2008009411,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
